date,-1,0,1,2,3,4,5
2021-01-01,72,298,51,100,347,134,174
2021-01-02,72,298,49,97,353,132,169
2021-01-03,72,297,52,98,348,137,169
2021-01-04,74,298,53,98,350,136,171
2021-01-05,78,290,50,93,361,144,177
2021-01-06,78,289,48,93,367,152,173
2021-01-07,79,289,50,95,353,151,176
2021-01-08,84,285,54,100,345,152,181
2021-01-09,85,288,53,101,348,151,181
2021-01-10,86,287,56,98,348,151,179
2021-01-11,80,288,64,95,353,151,183
2021-01-12,83,293,62,95,361,156,185
2021-01-13,85,298,58,95,362,151,184
2021-01-14,84,299,56,97,360,150,189
2021-01-15,85,298,55,102,362,150,188
2021-01-16,84,292,55,101,367,150,190
2021-01-17,83,296,55,100,371,150,189
2021-01-18,88,306,57,99,372,150,193
2021-01-19,85,305,58,103,373,150,192
2021-01-20,84,301,55,101,373,151,199
2021-01-21,84,300,56,98,371,155,201
2021-01-22,85,304,57,102,375,155,195
2021-01-23,86,303,58,105,368,152,193
2021-01-24,93,305,58,105,368,153,190
2021-01-25,105,306,55,112,373,161,186
2021-01-26,89,306,56,101,375,159,191
2021-01-27,90,304,54,74,368,160,189
2021-01-28,94,307,61,83,386,163,181
2021-01-29,99,304,54,86,372,162,180
2021-01-30,96,302,53,85,370,162,182
2021-01-31,97,302,53,85,370,159,178
2021-02-01,98,306,54,85,365,164,180
2021-02-02,93,313,57,88,375,166,186
2021-02-03,106,302,57,93,373,168,183
2021-02-04,112,300,54,96,373,169,183
2021-02-05,115,297,54,96,365,171,174
2021-02-06,114,296,54,95,370,153,175
2021-02-07,116,300,59,94,372,153,173
2021-02-08,112,299,58,98,367,146,176
2021-02-09,119,305,58,101,376,145,180
2021-02-10,117,309,57,102,385,146,183
2021-02-11,114,303,58,100,360,144,180
2021-02-12,113,307,58,102,363,140,183
2021-02-13,122,312,69,107,359,142,182
2021-02-14,115,308,64,108,354,144,189
2021-02-15,107,304,64,104,337,145,199
2021-02-16,114,310,58,106,344,141,193
2021-02-17,106,322,56,105,336,140,197
2021-02-18,111,311,49,105,347,141,204
2021-02-19,106,320,58,109,350,144,192
2021-02-20,108,312,58,107,347,146,190
2021-02-21,107,319,59,107,349,144,191
2021-02-22,107,314,59,110,351,143,187
2021-02-23,110,325,59,110,353,144,189
2021-02-24,107,316,57,109,338,146,188
2021-02-25,114,316,64,110,335,146,192
2021-02-26,112,304,67,110,344,149,194
2021-02-27,110,306,68,112,337,157,204
2021-02-28,114,295,70,113,336,153,200
2021-03-01,113,297,62,105,333,158,172
2021-03-02,110,304,47,106,330,153,168
2021-03-03,118,292,47,101,326,159,174
2021-03-04,120,299,47,116,338,160,178
2021-03-05,107,303,59,113,334,158,178
2021-03-06,107,298,56,118,325,153,175
2021-03-07,108,295,54,115,324,153,175
2021-03-08,110,299,59,119,329,159,176
2021-03-09,111,286,52,118,327,167,174
2021-03-10,115,288,50,120,321,143,172
2021-03-11,110,289,52,123,322,145,179
2021-03-12,113,289,48,123,331,144,174
2021-03-13,108,294,47,122,333,143,174
2021-03-14,109,293,48,120,335,142,172
2021-03-15,116,288,49,124,334,145,176
2021-03-16,109,289,40,122,331,146,183
2021-03-17,114,290,38,119,324,145,178
2021-03-18,115,287,38,121,332,146,192
2021-03-19,111,287,38,112,335,145,191
2021-03-20,111,284,38,110,336,147,190
2021-03-21,115,282,38,107,330,145,189
2021-03-22,107,282,41,109,317,145,192
2021-03-23,105,281,41,111,323,143,194
2021-03-24,107,282,39,110,326,137,197
2021-03-25,110,281,40,118,316,141,199
2021-03-26,108,282,40,116,311,142,198
