date,acetic acid derivatives and related substances,adamantane derivatives,adrenergic and dopaminergic agents,"adrenergics, inhalants",agents acting on the renin-angiotensin system,aldosterone antagonists,all other therapeutic products,alpha and beta blocking agents,alpha-adrenoreceptor antagonists,amide anesthetics,amide type local anesthetics,aminoglycoside antibacterials,angiotensin ii antagonists,"angiotensin ii antagonists, combinations",angiotensin ii receptor blockers,anilides,antacids,anti-dementia drugs,antiandrogens,"antiarrhythmics, class iii",antibiotics,antibiotics for topical use,anticholinergic agents,anticholinergics,antifibrinolytics,antifungals for dermatological use,antigout preparations,antihistamines for systemic use,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids","antiinflammatory preparations, non-steroids for topical use",antimalarials,antimycobacterials,antipropulsives,antithrombotic agents,anxiolytics,azapirones,belladonna and derivatives,benzodiazepine derivatives,benzodiazepine related drugs,benzothiazepine derivatives,beta blocking agents,biguanides,bile acid preparations,bile and liver therapy,bioflavonoids,bisphosphonates,blood substitutes and perfusion solutions,butyrophenone derivatives,calcium,"calcium, combinations with vitamin d and/or other drugs",carbapenems,carbohydrates,carboxamide derivatives,cardiac glycosides,centrally acting sympathomimetics,chemotherapeutics for topical use,class i antiarrhythmics,"combinations of penicillins, including beta-lactamase inhibitors",contact laxatives,corticosteroids and antiinfectives in combination,corticosteroids for systemic use,"corticosteroids, combinations for treatment of hemorrhoids","corticosteroids, potent (group iii)","corticosteroids, very potent (group iv)","corticosteroids, weak (group i)",cough suppressants,cough suppressants and expectorants,coxibs,decongestants and other nasal preparations for topical use,"diazepines, oxazepines, thiazepines and oxepines",dihydropyridine derivatives,dipeptidyl peptidase 4 inhibitors,direct factor xa inhibitors,dopa and dopa derivative,dopa and dopa derivatives,dopamine agonists,drugs used in erectile dysfunction,electrolyte solutions,enzymes,fatty acid derivatives,fenamates,first-generation cephalosporins,fluoroquinolones,folic acid and derivatives,fourth-generation cephalosporins,glucocorticoids,glycopeptide antibacterials,gonadotropin releasing hormone analogues,h2-receptor antagonists,high-ceiling diuretics,hmg coa reductase inhibitors,hormone antagonists and related agents,imidazole and triazole derivatives,influenza vaccines,insulins and analogues,insulins and analogues for injection,"insulins and analogues for injection, fast-acting",intestinal adsorbents,intravenous solutions,iron bivalent oral preparations,"iron bivalent, oral preparations",iron preparations,leukotriene receptor antagonists,macrolides,melatonin receptor agonists,mucolytics,"multivitamins, combinations","multivitamins, other combinations",muscle relaxants,nitrates,nitrofuran derivatives,nitroimidazole derivatives,non-selective monoamine reuptake inhibitors,nucleoside and nucleotide analogues,nucleoside and nucleotide reverse transcriptase inhibitors,opioids,opioids in combination,osmotic laxatives,other agents for local oral treatment,other agents for treatment of hemorrhoids and anal fissures for topical use,other anti-dementia drugs,other antibacterials,other antidepressants,other antiepileptics,other antipsychotics,other cardiac preparations,other cardiac stimulants,other centrally acting agents,other centrally acting muscle relaxants,other cough suppressants,other drugs for functional bowel disorders,other drugs for peptic ulcer and gastro-oesophageal reflux disease,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),other drugs for treatment of tuberculosis,other intestinal adsorbents,other nervous system drugs,other ophthalmologicals,other opioids,other parasympathomimetics,other vaccines,other vasodilators,parasympathomimetics,penicillins with extended spectrum,phenylalkylamine calcium channel blockers,platelet aggregation inhibitors,platelet aggregation inhibitors excl. heparin,polymyxins,posterior pituitary lobe hormones,potassium,preparations inhibiting uric acid production,propionic acid derivatives,propulsives,proton pump inhibitors,pyrethrins and pyrethroids,quinolone antibacterials,rifamycins,second-generation cephalosporins,selective beta blocking agents,selective beta-2-adrenoreceptor agonists,selective estrogen receptor modulators,selective serotonin reuptake inhibitors,serotonin (5ht3) antagonists,sodium-glucose co-transporter 2 (sglt2) inhibitors,solutions affecting electrolyte balance,solutions affecting the electrolyte balance,solutions for parenteral nutrition,solutions producing osmotic diuresis,sulfonamides,sulfonamides and trimethoprim,sulfonylureas,testosterone 5-alpha reductase inhibitors,tetracyclines,thiazide diuretics,thiouracils,third-generation cephalosporins,thyroid hormones,thyroid preparations,treatment of hyperkalemia,triazole derivatives,unknown,urinary antispasmodics,vasopressin antagonists,vitamin b12 and folic acid,vitamin c products,vitamin d and analogues,vitamin k antagonists,vitamins,xanthines
2021-01-01,1216.0,0.0,124.0,670.0,0.0,90.51282051282051,0.0,1784.010152284264,4242.0,0.0,0.0,0.0,2134.003717472119,1736.0,0.0,1675.0,25662.0,0.0,0.0,62.0,29.0,0.0,0.0,996.0,0.0,0.0,0.0,2457.0,0.0,6493.0,0.0,0.0,0.0,31.0,51.0,4131.0,0.0,0.0,4548.037037037037,490.0,974.0,406.06666666666666,3778.0,4744.0,1427.0,0.0,0.0,2949.0,548.5116279069767,2153.0,0.0,925.0,16.0,0.0,110.5,0.0,0.0,362.0,125.0,0.0,0.0,573.0,40.0,0.0,0.0,0.0,27313.0,1428.0,3218.0,676.0,6628.019031141868,11360.5,2665.0,1161.5023622047245,600.0,5203.019480519481,0.0,0.0,0.0,0.0,0.0,180.0,73.0,226.0,361.0,0.0,587.0,51.0,0.0,4635.0,1870.0204081632653,5342.0,58.0,0.0,0.0,4.480018805829808,3.2520005247277974,3.2579577285459638,0.0,0.0,4997.0,0.0,0.0,0.0,0.0,0.0,13621.0,0.0,37.0,0.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.5555555555557,0.0,0.0,1938.0070175438595,0.0,4417.50074294205,1908.0,822.0,362.0,1869.0,2713.0,457.0,719.0,576.0,0.0,12690.0,0.0,126.0,458.0,0.0,1108.0,0.0,0.0,521.0,2437.0,30.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7287.0,16034.0,9981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,0.0,0.0,230.0,0.0,0.0,39.0,0.0,0.0,352.5027027027027,120.0,0.0,45.0,0.0,52.0,0.0,744.0,21.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,829.0,695.0
2021-01-02,1216.0,0.0,0.0,670.0,0.0,90.51282051282051,0.0,1784.010152284264,4240.0,0.0,0.0,0.0,2134.003717472119,1736.0,0.0,1676.0,25662.0,0.0,0.0,62.0,29.0,0.0,0.0,996.0,0.0,0.0,0.0,2886.0,0.0,6493.0,0.0,0.0,0.0,31.0,51.0,4131.0,0.0,0.0,4515.037037037037,490.0,974.0,406.06666666666666,3778.0,4744.0,1427.0,0.0,26.0,2963.0,549.5116279069767,2153.0,0.0,925.0,0.0,0.0,110.5,0.0,0.0,362.0,125.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,27313.0,1428.0,3218.0,676.0,6625.519031141868,11358.0,2665.0,1161.5023622047245,600.0,5203.019480519481,0.0,0.0,0.0,0.0,0.0,180.0,73.0,226.0,361.0,0.0,587.0,51.0,0.0,4635.0,1870.0204081632653,5342.0,58.0,0.0,0.0,4.480018805829808,3.2520005247277974,3.2579577285459638,0.0,0.0,4997.0,0.0,0.0,0.0,0.0,0.0,13619.0,0.0,37.0,0.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,0.0,1938.0070175438595,0.0,4417.50074294205,1907.0,822.0,362.0,1869.0,2713.0,457.0,719.0,576.0,0.0,12690.0,0.0,126.0,458.0,0.0,1126.0,0.0,0.0,521.0,2437.0,30.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7287.0,16034.0,9981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,0.0,0.0,230.0,0.0,6.0,39.0,0.0,0.0,352.5027027027027,120.0,0.0,45.0,0.0,52.0,0.0,744.0,21.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,829.0,695.0
2021-01-03,1216.0,0.0,124.0,670.0,0.0,90.51282051282051,0.0,1784.010152284264,4240.0,0.0,0.0,0.0,2134.003717472119,1736.0,0.0,1675.0,25662.0,0.0,0.0,62.0,29.0,0.0,0.0,996.0,0.0,0.0,0.0,2453.0,0.0,6493.0,0.0,0.0,0.0,31.0,51.0,4131.0,0.0,0.0,4546.037037037037,490.0,974.0,406.06666666666666,3778.0,4744.0,1427.0,0.0,0.0,2932.0,566.0129977699904,2153.0,0.0,925.0,16.0,0.0,110.5,0.0,0.0,362.0,125.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,27313.0,1428.0,3218.0,676.0,6628.019031141868,11539.5,2665.0,1161.5023622047245,600.0,5203.019480519481,0.0,0.0,0.0,0.0,0.0,180.0,73.0,226.0,361.0,0.0,587.0,51.0,0.0,4993.0,1870.0204081632653,5342.0,58.0,0.0,0.0,4.480018805829808,3.2520005247277974,3.2579577285459638,0.0,0.0,4997.0,0.0,0.0,0.0,0.0,0.0,13849.0,0.0,7.0,0.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,0.0,1938.0070175438595,0.0,4417.50074294205,2055.0,822.0,362.0,1869.0,2713.0,457.0,719.0,576.0,0.0,12690.0,0.0,126.0,464.0,0.0,1096.0,0.0,0.0,521.0,2437.0,30.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7287.0,16034.0,9981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,0.0,0.0,228.0,0.0,4.0,43.0,0.0,0.0,352.5027027027027,120.0,0.0,45.0,0.0,52.0,0.0,744.0,34.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,829.0,695.0
2021-01-04,1216.0,0.0,0.0,647.0,0.0,90.51282051282051,0.0,1784.010152284264,4237.0,0.0,0.0,0.0,2134.003717472119,1736.0,0.0,1689.0,25709.0,0.0,0.0,62.0,29.0,0.0,0.0,967.0,0.0,6.0,0.0,2886.0,0.0,6807.0,0.0,0.0,0.0,31.0,51.0,3737.0,0.0,0.0,4549.037037037037,490.0,974.0,415.06666666666666,3778.0,4744.0,1427.0,0.0,25.0,2780.0,548.5116279069767,2153.0,0.0,925.0,2.0,0.0,110.5,0.0,0.0,362.0,7.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,27399.0,1428.0,3218.0,676.0,6628.019031141868,11717.5,2665.0,1161.5023622047245,600.0,5203.019480519481,0.0,0.0,0.0,0.0,0.0,180.0,0.0,477.0,361.0,0.0,587.0,51.0,0.0,4993.0,1881.0204081632653,5342.0,52.0,0.0,0.0,4.480018805829808,3.2520005247277974,3.2579577285459638,0.0,0.0,4997.0,0.0,0.0,0.0,0.0,0.0,14015.0,0.0,5.0,0.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,0.0,1938.0070175438595,0.0,4417.50074294205,2055.0,822.0,362.0,1869.0,2713.0,457.0,719.0,559.0,0.0,12690.0,0.0,173.0,464.0,0.0,1145.0,0.0,0.0,521.0,2437.0,30.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7295.0,16034.0,9981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,0.0,0.0,257.0,0.0,1.0,48.0,0.0,0.0,352.5027027027027,120.0,0.0,45.0,0.0,74.0,0.0,744.0,25.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,889.0,695.0
2021-01-05,1277.0,0.0,124.0,641.0,0.0,90.51282051282051,0.0,1784.010152284264,4230.0,0.0,0.0,0.0,2127.003717472119,1736.0,0.0,1679.0,25645.0,0.0,0.0,62.0,29.0,0.0,0.0,967.0,0.0,6.0,0.0,2886.0,0.0,6807.0,1.0,0.0,0.0,31.0,51.0,3737.0,0.0,0.0,4502.037037037037,490.0,974.0,406.06666666666666,3765.0,4753.0,1433.0,0.0,0.0,2876.0,553.5116279069767,2153.0,0.0,925.0,79.0,0.0,110.5,0.0,0.0,362.0,48.0,0.0,5.0,680.0,0.0,0.0,0.0,0.0,27714.0,1428.0,3218.0,683.0,7006.519031141868,11734.0,2658.0,1161.5023622047245,600.0,5203.019480519481,0.0,0.0,116.0,0.0,0.0,180.0,0.0,561.0,361.0,0.0,587.0,51.0,0.0,4993.0,1881.0204081632653,5342.0,52.0,0.0,0.0,4.480018805829808,3.3720315204658835,3.2579577285459638,0.0,0.0,4997.0,0.0,0.0,0.0,0.0,0.0,14015.0,0.0,23.0,0.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0,0.0,0.0,1938.0070175438595,0.0,4417.50074294205,2055.0,847.0,362.0,1869.0,2713.0,457.0,719.0,442.0,0.0,12677.0,0.0,58.0,464.0,0.0,1111.0,0.0,0.0,521.0,2437.0,30.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7276.0,16012.0,9967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,0.0,0.0,240.0,0.0,10.0,50.0,0.0,0.0,349.0,120.0,0.0,45.0,0.0,101.0,0.0,744.0,260.0,5.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,889.0,689.0
2021-01-06,1278.0,0.0,4.0,641.0,0.0,90.51282051282051,0.0,1784.010152284264,4230.0,0.0,0.0,0.0,2303.003717472119,1736.0,0.0,1683.0,26117.0,0.0,0.0,62.0,29.0,0.0,0.0,967.0,5.0,6.0,0.0,2892.0,0.0,6606.0,0.0,0.0,0.0,123.0,51.0,3737.0,0.0,0.0,4474.037037037037,490.0,974.0,406.06666666666666,3765.0,4753.0,1433.0,0.0,24.0,2979.0,569.0129977699904,2153.0,0.0,925.0,64.0,0.0,110.5,0.0,0.0,362.0,78.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,26779.0,1442.0,3239.0,683.0,6945.019031141868,11998.0,2658.0,1513.5023622047245,600.0,5203.019480519481,0.0,0.0,116.0,0.0,0.0,180.0,0.0,575.0,361.0,0.0,587.0,51.0,0.0,5169.0,1873.0204081632653,5518.0,52.0,0.0,0.0,4.480018805829808,3.2520005247277974,3.2579577285459638,0.0,0.0,5349.0,0.0,0.0,0.0,0.0,0.0,14029.0,0.0,23.0,0.0,745.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1996.0,0.0,0.0,1938.0070175438595,0.0,4417.50074294205,2055.0,847.0,362.0,1869.0,2713.0,520.0,719.0,767.0,0.0,12677.0,0.0,380.0,458.0,0.0,1083.0,0.0,0.0,521.0,2437.0,30.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7276.0,16012.0,9967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,0.0,0.0,223.0,0.0,16.0,46.0,0.0,0.0,349.0,120.0,0.0,45.0,0.0,134.0,0.0,744.0,356.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,889.0,689.0
2021-01-07,1277.0,0.0,124.0,641.0,0.0,90.51282051282051,0.0,1784.010152284264,4230.0,0.0,0.0,0.0,2303.003717472119,1736.0,0.0,1695.0,25674.0,0.0,0.0,62.0,29.0,0.0,0.0,967.0,5.0,6.0,0.0,2886.0,0.0,6873.0,0.0,0.0,0.0,31.0,51.0,3737.0,0.0,0.0,4376.037037037037,490.0,974.0,406.06666666666666,3765.0,4753.0,1433.0,0.0,25.0,3037.0,583.0129977699904,2153.0,0.0,925.0,77.0,0.0,110.5,0.0,0.0,362.0,71.0,0.0,1.0,680.0,0.0,0.0,0.0,0.0,26524.0,1442.0,3239.0,683.0,7004.019031141868,12079.0,2658.0,1513.5023622047245,600.0,5203.019480519481,0.0,0.0,116.0,0.0,0.0,180.0,24.0,575.0,416.0,0.0,587.0,51.0,0.0,5158.0,1870.0204081632653,5518.0,0.0,0.0,0.0,4.480018805829808,3.2520005247277974,3.2579577285459638,0.0,0.0,5349.0,0.0,0.0,0.0,0.0,0.0,14012.0,0.0,11.0,0.0,745.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,1927.0070175438595,0.0,4406.50074294205,2055.0,847.0,362.0,1869.0,2713.0,520.0,719.0,767.0,0.0,12677.0,0.0,324.0,458.0,0.0,1153.0,0.0,0.0,521.0,2437.0,83.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7268.0,15995.0,9879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,0.0,0.0,255.0,0.0,3.0,39.0,0.0,0.0,349.0,120.0,0.0,45.0,0.0,134.0,0.0,744.0,356.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,889.0,689.0
2021-01-08,1263.0,0.0,0.0,804.0,0.0,90.51282051282051,0.0,1784.010152284264,4230.0,0.0,0.0,0.0,2303.003717472119,1736.0,0.0,1686.0,25660.0,0.0,0.0,62.0,29.0,0.0,0.0,1160.0,16.0,6.0,0.0,2887.0,0.0,7074.0,0.0,0.0,0.0,67.0,51.0,3737.0,0.0,0.0,4531.037037037037,490.0,974.0,508.06666666666666,3765.0,4744.0,1427.0,0.0,0.0,3863.0,549.5116279069767,2153.0,0.0,925.0,61.0,0.0,110.5,0.0,0.0,362.0,505.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,26304.0,1442.0,3239.0,683.0,7035.519031141868,12159.0,2658.0,1513.5023622047245,600.0,5443.019480519481,0.0,0.0,116.0,0.0,0.0,180.0,24.0,603.0,416.0,0.0,587.0,51.0,0.0,5167.0,1882.0204081632653,5518.0,0.0,0.0,0.0,4.480018805829808,3.2520005247277974,3.2579577285459638,0.0,0.0,5349.0,0.0,0.0,0.0,0.0,0.0,14668.0,0.0,11.0,0.0,745.0,0.0,48.0,0.0,0.0,0.0,1.0,0.0,1990.0,0.0,0.0,1927.0070175438595,0.0,4406.50074294205,2055.0,734.0,362.0,1869.0,2713.0,520.0,719.0,568.0,0.0,12677.0,0.0,125.0,458.0,0.0,1114.0,0.0,0.0,521.0,2437.0,83.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7394.0,15995.0,10053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,0.0,0.0,255.0,0.0,32.0,39.0,0.0,0.0,349.0,120.0,0.0,45.0,0.0,127.0,0.0,744.0,363.0,7.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,889.0,689.0
2021-01-09,1263.0,0.0,124.0,815.0,0.0,90.51282051282051,0.0,1784.010152284264,4230.0,0.0,0.0,0.0,2303.003717472119,1736.0,0.0,1686.0,25660.0,0.0,0.0,62.0,29.0,0.0,0.0,1171.0,21.0,6.0,0.0,2886.0,5.0,7126.0,0.0,0.0,0.0,67.0,51.0,3737.0,0.0,0.0,4545.037037037037,490.0,974.0,508.06666666666666,3765.0,4744.0,1427.0,0.0,26.0,3791.0,551.5116279069767,2153.0,0.0,925.0,77.0,0.0,110.5,0.0,0.0,362.0,566.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,26304.0,1450.0,3239.0,683.0,7035.519031141868,12245.5,2658.0,1513.5023622047245,600.0,5443.019480519481,0.0,0.0,116.0,0.0,0.0,180.0,24.0,598.0,416.0,0.0,598.0,51.0,0.0,5167.0,1870.0204081632653,5518.0,0.0,0.0,0.0,4.480018805829808,3.2520005247277974,3.2579577285459638,0.0,0.0,5349.0,0.0,0.0,0.0,0.0,0.0,14668.0,0.0,11.0,0.0,745.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,1927.0070175438595,0.0,4406.50074294205,2055.0,734.0,362.0,1869.0,2713.0,520.0,719.0,568.0,0.0,13195.0,0.0,125.0,458.0,4.0,1111.0,0.0,0.0,521.0,2437.0,83.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7394.0,16029.0,10053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,0.0,0.0,255.0,0.0,12.0,39.0,0.0,0.0,349.0,120.0,0.0,45.0,0.0,119.0,0.0,744.0,259.0,7.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,889.0,689.0
2021-01-10,1263.0,0.0,8.0,815.0,0.0,90.51282051282051,0.0,1784.010152284264,4230.0,0.0,0.0,0.0,2303.003717472119,1736.0,0.0,1686.0,25660.0,0.0,0.0,62.0,29.0,0.0,0.0,1171.0,21.0,0.0,0.0,2886.0,5.0,7126.0,0.0,0.0,0.0,67.0,51.0,3737.0,0.0,0.0,4538.037037037037,490.0,974.0,508.06666666666666,3765.0,4744.0,1427.0,0.0,0.0,3808.0,566.0129977699904,2153.0,0.0,925.0,63.0,0.0,110.5,0.0,0.0,362.0,551.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,26304.0,1450.0,3239.0,683.0,7035.519031141868,12245.5,2658.0,1513.5023622047245,600.0,5443.019480519481,0.0,0.0,116.0,0.0,0.0,180.0,24.0,598.0,416.0,0.0,598.0,51.0,0.0,5167.0,1876.0204081632653,5518.0,0.0,0.0,0.0,4.480018805829808,3.2520005247277974,3.2579577285459638,0.0,0.0,5349.0,0.0,0.0,0.0,0.0,0.0,14671.0,0.0,12.0,0.0,745.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,1927.0070175438595,0.0,4406.50074294205,2055.0,734.0,362.0,1869.0,2713.0,520.0,719.0,568.0,0.0,13195.0,0.0,125.0,458.0,0.0,1111.0,0.0,0.0,521.0,2437.0,83.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7394.0,16029.0,10053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,0.0,0.0,255.0,0.0,0.0,39.0,0.0,0.0,349.0,120.0,0.0,45.0,0.0,119.0,0.0,744.0,259.0,7.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,889.0,689.0
2021-01-11,1263.0,0.0,124.0,963.0,0.0,90.51282051282051,0.0,1784.010152284264,4230.0,0.0,0.0,0.0,2303.003717472119,1736.0,0.0,1675.0,25605.0,0.0,0.0,62.0,0.0,0.0,0.0,1319.0,16.0,0.0,0.0,2891.0,0.0,7126.0,0.0,0.0,0.0,123.0,51.0,3737.0,0.0,0.0,4538.037037037037,490.0,974.0,508.06666666666666,3765.0,4744.0,1427.0,0.0,25.0,4000.0,548.5116279069767,2153.0,0.0,925.0,77.0,0.0,110.5,0.0,0.0,362.0,533.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,26375.0,1444.0,3261.5,787.0,7035.519031141868,12245.5,2658.0,1513.5023622047245,600.0,5443.019480519481,0.0,0.0,116.0,0.0,0.0,180.0,24.0,570.0,416.0,0.0,746.0,51.0,0.0,5167.0,1876.0204081632653,5518.0,0.0,0.0,0.0,4.480018805829808,3.2520005247277974,3.2579577285459638,0.0,0.0,5349.0,0.0,0.0,0.0,0.0,0.0,15160.0,0.0,18.0,0.0,745.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,2233.0,0.0,0.0,1927.0070175438595,0.0,4406.50074294205,2055.0,734.0,362.0,1869.0,2713.0,520.0,719.0,767.0,0.0,13195.0,0.0,337.0,458.0,0.0,1119.0,0.0,0.0,521.0,2437.0,110.0,0.0,2994.0,3152.0,0.0,0.0,0.0,19.0,7394.0,16029.0,10053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,0.0,0.0,294.0,0.0,29.0,39.0,0.0,0.0,349.0,120.0,0.0,45.0,0.0,130.0,0.0,744.0,259.0,10.0,0.0,875.0,0.0,0.0,0.0,0.0,171.0,889.0,689.0
