date,acetic acid derivatives and related substances,adamantane derivatives,adrenergic and dopaminergic agents,"adrenergics, inhalants",agents acting on the renin-angiotensin system,aldosterone antagonists,all other therapeutic products,alpha and beta blocking agents,alpha-adrenoreceptor antagonists,amide anesthetics,amide type local anesthetics,aminoglycoside antibacterials,angiotensin ii antagonists,"angiotensin ii antagonists, combinations",angiotensin ii receptor blockers,anilides,antacids,anti-dementia drugs,antiandrogens,"antiarrhythmics, class iii",antibiotics,antibiotics for topical use,anticholinergic agents,anticholinergics,antifibrinolytics,antifungals for dermatological use,antigout preparations,antihistamines for systemic use,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids","antiinflammatory preparations, non-steroids for topical use",antimalarials,antimycobacterials,antipropulsives,antithrombotic agents,anxiolytics,azapirones,belladonna and derivatives,benzodiazepine derivatives,benzodiazepine related drugs,benzothiazepine derivatives,beta blocking agents,biguanides,bile acid preparations,bile and liver therapy,bioflavonoids,bisphosphonates,blood substitutes and perfusion solutions,butyrophenone derivatives,calcium,"calcium, combinations with vitamin d and/or other drugs",carbapenems,carbohydrates,carboxamide derivatives,cardiac glycosides,centrally acting sympathomimetics,chemotherapeutics for topical use,class i antiarrhythmics,"combinations of penicillins, including beta-lactamase inhibitors",contact laxatives,corticosteroids and antiinfectives in combination,corticosteroids for systemic use,"corticosteroids, combinations for treatment of hemorrhoids","corticosteroids, potent (group iii)","corticosteroids, very potent (group iv)","corticosteroids, weak (group i)",cough suppressants,cough suppressants and expectorants,coxibs,decongestants and other nasal preparations for topical use,"diazepines, oxazepines, thiazepines and oxepines",dihydropyridine derivatives,dipeptidyl peptidase 4 inhibitors,direct factor xa inhibitors,dopa and dopa derivative,dopa and dopa derivatives,dopamine agonists,drugs used in erectile dysfunction,electrolyte solutions,enzymes,fatty acid derivatives,fenamates,first-generation cephalosporins,fluoroquinolones,folic acid and derivatives,fourth-generation cephalosporins,glucocorticoids,glycopeptide antibacterials,gonadotropin releasing hormone analogues,h2-receptor antagonists,high-ceiling diuretics,hmg coa reductase inhibitors,hormone antagonists and related agents,imidazole and triazole derivatives,influenza vaccines,insulins and analogues,insulins and analogues for injection,"insulins and analogues for injection, fast-acting",intestinal adsorbents,intravenous solutions,iron bivalent oral preparations,"iron bivalent, oral preparations",iron preparations,leukotriene receptor antagonists,macrolides,melatonin receptor agonists,mucolytics,"multivitamins, combinations","multivitamins, other combinations",muscle relaxants,nitrates,nitrofuran derivatives,nitroimidazole derivatives,non-selective monoamine reuptake inhibitors,nucleoside and nucleotide analogues,nucleoside and nucleotide reverse transcriptase inhibitors,opioids,opioids in combination,osmotic laxatives,other agents for local oral treatment,other agents for treatment of hemorrhoids and anal fissures for topical use,other anti-dementia drugs,other antibacterials,other antidepressants,other antiepileptics,other antipsychotics,other cardiac preparations,other cardiac stimulants,other centrally acting agents,other centrally acting muscle relaxants,other cough suppressants,other drugs for functional bowel disorders,other drugs for peptic ulcer and gastro-oesophageal reflux disease,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),other drugs for treatment of tuberculosis,other intestinal adsorbents,other nervous system drugs,other ophthalmologicals,other opioids,other parasympathomimetics,other vaccines,other vasodilators,parasympathomimetics,penicillins with extended spectrum,phenylalkylamine calcium channel blockers,platelet aggregation inhibitors,platelet aggregation inhibitors excl. heparin,polymyxins,posterior pituitary lobe hormones,potassium,preparations inhibiting uric acid production,propionic acid derivatives,propulsives,proton pump inhibitors,pyrethrins and pyrethroids,quinolone antibacterials,rifamycins,second-generation cephalosporins,selective beta blocking agents,selective beta-2-adrenoreceptor agonists,selective estrogen receptor modulators,selective serotonin reuptake inhibitors,serotonin (5ht3) antagonists,sodium-glucose co-transporter 2 (sglt2) inhibitors,solutions affecting electrolyte balance,solutions affecting the electrolyte balance,solutions for parenteral nutrition,solutions producing osmotic diuresis,sulfonamides,sulfonamides and trimethoprim,sulfonylureas,testosterone 5-alpha reductase inhibitors,tetracyclines,thiazide diuretics,thiouracils,third-generation cephalosporins,thyroid hormones,thyroid preparations,treatment of hyperkalemia,triazole derivatives,unknown,urinary antispasmodics,vasopressin antagonists,vitamin b12 and folic acid,vitamin c products,vitamin d and analogues,vitamin k antagonists,vitamins,xanthines
2021-01-01,18.9245014,0.0,7.75,13.1439948,0.0,0.5,0.0,13.3561663,33.8546239,0.0,0.0,0.0,18.42338711,12.09375,0.0,16.0698872,206.8845092,0.0,0.0,2.0,2.9000001,0.0,0.0,13.7132255,0.0,0.0,0.0,17.0755574,0.0,49.6732878,0.0,0.0,0.0,1.24,1.9615384,29.9465642,0.0,0.0,47.0753969,5.0058479,7.9589901,3.6393582,31.9138849,32.476790199999996,9.0782123,0.0,0.0,54.7197431,4.4969879,17.1323723,0.0,11.8702343,1.0,0.0,0.75,0.0,0.0,2.0,11.2762922,0.0,0.0,5.60887167,40.0,0.0,0.0,0.0,464.219643,11.96382,27.97486471,6.2439024,72.74464415,89.07364723,20.875,9.48795396,4.0,32.5325489,0.0,0.0,0.0,0.0,0.0,2.0,2.8076923,11.0,3.0,0.0,5.9439948000000005,1.9615384,0.0,33.9420472,11.95626534,38.4749314,6.0,0.0,0.0,0.027777778099999997,0.017966852,0.017999999,0.0,0.0,38.1567407,0.0,0.0,0.0,0.0,0.0,116.0163464,0.0,2.0,0.0,4.9884393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5353902,0.0,0.0,35.8111111,0.0,31.0678009,14.962963,7.2109483,2.0,15.5749998,21.020788,11.3071266,5.9830508,8.7651361,0.0,89.0382881,0.0,5.925,4.0,0.0,16.4909768,0.0,0.0,3.9875,14.729609,2.7272727,0.0,26.1936262,23.0832658,0.0,0.0,0.0,1.0,58.2877023,124.5615742,73.6894695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.875,2.0,0.0,1.0,0.0,4.0,0.0,4.5,6.0,0.0,0.0,7.1353740000000005,0.0,0.0,0.0,0.0,1.1324503,9.22,5.5185184
2021-01-02,18.9245014,0.0,0.0,13.1439948,0.0,0.5,0.0,13.3561663,31.8546239,0.0,0.0,0.0,18.42338711,12.09375,0.0,17.0698872,206.8845092,0.0,0.0,2.0,2.9000001,0.0,0.0,13.7132255,0.0,0.0,0.0,19.0825018,0.0,49.6732878,0.0,0.0,0.0,1.24,1.9615384,29.9465642,0.0,0.0,45.7976191,5.0058479,7.9589901,3.6393582,31.9138849,32.476790199999996,9.0782123,0.0,1.0,54.7197431,5.4969879,17.1323723,0.0,11.8702343,0.0,0.0,0.75,0.0,0.0,2.0,11.2762922,0.0,0.0,5.60887167,0.0,0.0,0.0,0.0,464.219643,11.96382,27.97486471,6.2439024,71.91131084,88.24031392,20.875,9.48795396,4.0,32.5325489,0.0,0.0,0.0,0.0,0.0,2.0,2.8076923,11.0,3.0,0.0,5.9439948000000005,1.9615384,0.0,33.9420472,11.95626534,38.4749314,6.0,0.0,0.0,0.027777778099999997,0.017966852,0.017999999,0.0,0.0,38.1567407,0.0,0.0,0.0,0.0,0.0,114.0163464,0.0,2.0,0.0,4.9884393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0353902,0.0,0.0,35.8111111,0.0,31.0678009,13.962963,7.2109483,2.0,15.5749998,21.020788,11.3071266,5.9830508,8.7651361,0.0,89.0382881,0.0,5.925,4.0,0.0,15.0116975,0.0,0.0,3.9875,14.729609,2.7272727,0.0,26.1936262,23.0832658,0.0,0.0,0.0,1.0,58.2877023,124.5615742,73.6894695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,4.875,2.0,0.0,1.0,0.0,4.0,0.0,4.5,6.0,0.0,0.0,7.1353740000000005,0.0,0.0,0.0,0.0,1.1324503,9.22,5.5185184
2021-01-03,18.9245014,0.0,7.75,13.1439948,0.0,0.5,0.0,13.3561663,31.8546239,0.0,0.0,0.0,18.42338711,12.09375,0.0,16.0698872,206.8845092,0.0,0.0,2.0,2.9000001,0.0,0.0,13.7132255,0.0,0.0,0.0,16.0755574,0.0,49.6732878,0.0,0.0,0.0,1.24,1.9615384,29.9465642,0.0,0.0,46.0753969,5.0058479,7.9589901,3.6393582,31.9138849,32.476790199999996,9.0782123,0.0,0.0,53.7197431,5.3719879,17.1323723,0.0,11.8702343,1.0,0.0,0.75,0.0,0.0,2.0,11.2762922,0.0,0.0,5.60887167,0.0,0.0,0.0,0.0,464.219643,11.96382,27.97486471,6.2439024,72.74464415,90.07364723,20.875,9.48795396,4.0,32.5325489,0.0,0.0,0.0,0.0,0.0,2.0,2.8076923,11.0,3.0,0.0,5.9439948000000005,1.9615384,0.0,35.9420472,11.95626534,38.4749314,6.0,0.0,0.0,0.027777778099999997,0.017966852,0.017999999,0.0,0.0,38.1567407,0.0,0.0,0.0,0.0,0.0,116.0163464,0.0,2.0,0.0,4.9884393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0353902,0.0,0.0,35.8111111,0.0,31.0678009,14.962963,7.2109483,2.0,15.5749998,21.020788,11.3071266,5.9830508,8.7651361,0.0,89.0382881,0.0,5.925,6.0,0.0,14.8147863,0.0,0.0,3.9875,14.729609,2.7272727,0.0,26.1936262,23.0832658,0.0,0.0,0.0,1.0,58.2877023,124.5615742,73.6894695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,4.875,2.0,0.0,1.0,0.0,4.0,0.0,4.5,8.5999999,0.0,0.0,7.1353740000000005,0.0,0.0,0.0,0.0,1.1324503,9.22,5.5185184
2021-01-04,18.9245014,0.0,0.0,9.4439948,0.0,0.5,0.0,13.3561663,30.8546239,0.0,0.0,0.0,18.42338711,12.09375,0.0,19.7698872,209.6492151,0.0,0.0,2.0,2.9000001,0.0,0.0,9.9439948,0.0,1.0,0.0,19.0825018,0.0,52.6355519,0.0,0.0,0.0,1.24,1.9615384,28.96982,0.0,0.0,47.0753969,5.0058479,7.9589901,4.6393582,31.9138849,32.476790199999996,9.0782123,0.0,1.0,49.2577095,4.4969879,17.1323723,0.0,11.8702343,1.0,0.0,0.75,0.0,0.0,2.0,2.3333333,0.0,0.0,7.28074667,0.0,0.0,0.0,0.0,476.419643,11.96382,27.97486471,6.2439024,72.74464415,91.07364723,20.875,9.48795396,4.0,32.5325489,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.576923100000002,3.0,0.0,5.9439948000000005,1.9615384,0.0,35.9420472,14.24197964,38.4749314,4.0,0.0,0.0,0.027777778099999997,0.017966852,0.017999999,0.0,0.0,38.1567407,0.0,0.0,0.0,0.0,0.0,118.980632,0.0,2.0,0.0,4.9884393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0353902,0.0,0.0,35.8111111,0.0,31.0678009,14.962963,7.2109483,2.0,15.5749998,21.020788,11.3071266,5.9830508,5.9318028,0.0,89.0382881,0.0,5.725,6.0,0.0,15.5450308,0.0,0.0,3.9875,14.729609,2.7272727,0.0,26.1936262,23.0832658,0.0,0.0,0.0,1.0,60.954369,124.5615742,73.6894695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,4.875,2.0,0.0,1.0,0.0,7.0,0.0,4.5,5.5999999,0.0,0.0,7.1353740000000005,0.0,0.0,0.0,0.0,1.1324503,10.3109091,5.5185184
2021-01-05,17.8974744,0.0,7.75,7.9439948000000005,0.0,0.5,0.0,13.3561663,29.1046239,0.0,0.0,0.0,16.67338711,12.09375,0.0,17.0698872,193.6492151,0.0,0.0,2.0,2.9000001,0.0,0.0,9.9439948,0.0,1.0,0.0,19.0825018,0.0,52.6355519,1.0,0.0,0.0,1.24,1.9615384,28.96982,0.0,0.0,45.6309525,5.0058479,7.9589901,3.6393582,28.6638849,35.476790199999996,11.0782123,0.0,0.0,54.056855,6.4969879,17.1323723,0.0,11.8702343,3.0,0.0,0.75,0.0,0.0,2.0,11.0,0.0,5.0,7.28074667,0.0,0.0,0.0,0.0,521.419643,11.96382,27.97486471,7.2439024,77.59826724,89.74031392,19.125,9.48795396,4.0,32.5325489,0.0,0.0,2.0,0.0,0.0,2.0,0.0,27.576923100000002,3.0,0.0,5.9439948000000005,1.9615384,0.0,35.9420472,13.95626534,38.4749314,4.0,0.0,0.0,0.027777778099999997,0.137966852,0.017999999,0.0,0.0,38.1567407,0.0,0.0,0.0,0.0,0.0,118.980632,0.0,3.0,0.0,4.9884393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0353902,0.0,0.0,35.8111111,0.0,31.0678009,14.962963,8.2109483,2.0,15.5749998,21.020788,11.3071266,5.9830508,3.0068028,0.0,85.7882881,0.0,4.8,6.0,0.0,15.195738799999999,0.0,0.0,3.9875,14.729609,2.7272727,0.0,26.1936262,23.0832658,0.0,0.0,0.0,1.0,56.204369,122.1171298,70.1894695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,8.0,0.0,4.5,13.299011,2.0,0.0,7.1353740000000005,0.0,0.0,0.0,0.0,1.1324503,10.3109091,4.0185184
2021-01-06,18.8974744,0.0,4.0,7.9439948000000005,0.0,0.5,0.0,13.3561663,29.1046239,0.0,0.0,0.0,17.67338711,12.09375,0.0,18.5698872,198.7752179,0.0,0.0,2.0,2.9000001,0.0,0.0,9.9439948,2.5,1.0,0.0,20.0825018,0.0,49.5432441,0.0,0.0,0.0,3.3951724,1.9615384,28.96982,0.0,0.0,45.1309525,5.0058479,7.9589901,3.6393582,28.6638849,35.476790199999996,11.0782123,0.0,1.0,55.8527171,6.3719879,17.1323723,0.0,11.8702343,3.0,0.0,0.75,0.0,0.0,2.0,13.7272727,0.0,0.0,7.28074667,0.0,0.0,0.0,0.0,431.357143,14.763819999999999,28.97486471,7.2439024,76.59826724,91.24031392,19.125,11.48795396,4.0,32.5325489,0.0,0.0,2.0,0.0,0.0,2.0,0.0,29.576923100000002,3.0,0.0,5.9439948000000005,1.9615384,0.0,36.9420472,12.95626534,39.4749314,4.0,0.0,0.0,0.027777778099999997,0.017966852,0.017999999,0.0,0.0,40.1567407,0.0,0.0,0.0,0.0,0.0,121.780632,0.0,3.0,0.0,4.9884393,0.0,2.8235295,0.0,0.0,0.0,0.0,0.0,22.0353902,0.0,0.0,35.8111111,0.0,31.0678009,14.962963,8.2109483,2.0,15.5749998,21.020788,11.3071266,5.9830508,8.9462956,0.0,85.7882881,0.0,8.640493,4.0,0.0,12.9576435,0.0,0.0,3.9875,14.729609,2.7272727,0.0,26.1936262,23.0832658,0.0,0.0,0.0,1.0,56.204369,122.1171298,70.1894695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,10.0,0.0,4.5,15.8253267,0.0,0.0,7.1353740000000005,0.0,0.0,0.0,0.0,1.1324503,10.3109091,4.0185184
2021-01-07,17.8974744,0.0,7.75,7.9439948000000005,0.0,0.5,0.0,13.3561663,29.1046239,0.0,0.0,0.0,17.67338711,12.09375,0.0,20.6698872,196.6218846,0.0,0.0,2.0,2.9000001,0.0,0.0,9.9439948,2.5,1.0,0.0,19.0825018,0.0,52.5099108,0.0,0.0,0.0,1.24,1.9615384,28.96982,0.0,0.0,47.7976191,5.0058479,7.9589901,3.6393582,28.6638849,35.476790199999996,11.0782123,0.0,1.0,55.8237316,6.3719879,17.1323723,0.0,11.8702343,2.0,0.0,0.75,0.0,0.0,2.0,11.3939394,0.0,1.0,7.28074667,0.0,0.0,0.0,0.0,388.857143,14.763819999999999,28.97486471,7.2439024,77.09826724,90.74031392,19.125,11.48795396,4.0,32.5325489,0.0,0.0,2.0,0.0,0.0,2.0,2.0,29.576923100000002,4.0,0.0,5.9439948000000005,1.9615384,0.0,35.1087138,11.95626534,39.4749314,0.0,0.0,0.0,0.027777778099999997,0.017966852,0.017999999,0.0,0.0,40.1567407,0.0,0.0,0.0,0.0,0.0,118.9472987,0.0,1.0,0.0,4.9884393,0.0,2.8235295,0.0,0.0,0.0,0.0,0.0,51.035390199999995,0.0,0.0,33.9777777,0.0,29.2344675,14.962963,8.2109483,2.0,15.5749998,21.020788,11.3071266,5.9830508,8.9462956,0.0,85.7882881,0.0,5.840493,4.0,0.0,21.1298047,0.0,0.0,3.9875,14.729609,5.5167465,0.0,26.1936262,23.0832658,0.0,0.0,0.0,1.0,53.5377023,119.2837965,70.1894695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,10.0,0.0,4.5,15.8253267,0.0,0.0,7.1353740000000005,0.0,0.0,0.0,0.0,1.1324503,10.3109091,4.0185184
2021-01-08,15.8974744,0.0,0.0,9.9563406,0.0,0.5,0.0,13.3561663,29.1046239,0.0,0.0,0.0,17.67338711,12.09375,0.0,17.1698872,194.6218846,0.0,0.0,2.0,2.9000001,0.0,0.0,11.954411499999999,2.6666667,1.0,0.0,20.0825018,0.0,55.6022186,0.0,0.0,0.0,3.3779310000000002,1.9615384,28.96982,0.0,0.0,46.7420637,5.0058479,7.9589901,8.074140700000001,28.6638849,32.476790199999996,9.0782123,0.0,0.0,67.9396772,5.4969879,17.1323723,0.0,11.8702343,1.0,0.0,0.75,0.0,0.0,2.0,17.8388559,0.0,0.0,7.28074667,0.0,0.0,0.0,0.0,333.857143,14.763819999999999,28.97486471,7.2439024,78.59826724,90.24031392,19.125,11.48795396,4.0,31.032548900000002,0.0,0.0,2.0,0.0,0.0,2.0,2.0,33.5769231,4.0,0.0,5.9439948000000005,1.9615384,0.0,36.9087138,13.95626534,39.4749314,0.0,0.0,0.0,0.027777778099999997,0.017966852,0.017999999,0.0,0.0,40.1567407,0.0,0.0,0.0,0.0,0.0,123.3524711,0.0,1.0,0.0,4.9884393,0.0,2.8235295,0.0,0.0,0.0,1.0,0.0,21.0353902,0.0,0.0,33.9777777,0.0,29.2344675,14.962963,8.1750202,2.0,15.5749998,21.020788,11.3071266,5.9830508,8.9318028,0.0,85.7882881,0.0,5.591666699999999,4.0,0.0,15.9397863,0.0,0.0,3.9875,14.729609,5.5167465,0.0,26.1936262,23.0832658,0.0,0.0,0.0,1.0,56.4679348,119.2837965,73.1894695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,9.0,0.0,4.5,16.0824697,1.0,0.0,7.1353740000000005,0.0,0.0,0.0,0.0,1.1324503,10.3109091,4.0185184
2021-01-09,15.8974744,0.0,7.75,12.7063406,0.0,0.5,0.0,13.3561663,29.1046239,0.0,0.0,0.0,17.67338711,12.09375,0.0,17.1698872,194.6218846,0.0,0.0,2.0,2.9000001,0.0,0.0,14.704411499999999,5.1666667,1.0,0.0,19.0825018,2.5,58.491107400000004,0.0,0.0,0.0,3.3779310000000002,1.9615384,28.96982,0.0,0.0,47.6309525,5.0058479,7.9589901,8.074140700000001,28.6638849,32.476790199999996,9.0782123,0.0,1.0,66.6896772,5.4969879,17.1323723,0.0,11.8702343,2.0,0.0,0.75,0.0,0.0,2.0,23.2949964,0.0,0.0,5.60887167,0.0,0.0,0.0,0.0,333.857143,17.4304867,28.97486471,7.2439024,78.59826724,90.74031392,19.125,11.48795396,4.0,31.032548900000002,0.0,0.0,2.0,0.0,0.0,2.0,2.0,32.5769231,4.0,0.0,8.6939948,1.9615384,0.0,36.9087138,11.95626534,39.4749314,0.0,0.0,0.0,0.027777778099999997,0.017966852,0.017999999,0.0,0.0,40.1567407,0.0,0.0,0.0,0.0,0.0,123.3524711,0.0,1.0,0.0,4.9884393,0.0,2.8235295,0.0,0.0,0.0,0.0,0.0,21.0353902,0.0,0.0,33.9777777,0.0,29.2344675,14.962963,8.1750202,2.0,15.5749998,21.020788,11.3071266,5.9830508,8.9318028,0.0,88.7825076,0.0,5.591666699999999,4.0,1.0,17.8147863,0.0,0.0,3.9875,14.729609,5.5167465,0.0,26.1936262,23.0832658,0.0,0.0,0.0,1.0,56.4679348,120.9028441,73.1894695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,8.0,0.0,4.5,11.556154,1.0,0.0,7.1353740000000005,0.0,0.0,0.0,0.0,1.1324503,10.3109091,4.0185184
2021-01-10,15.8974744,0.0,4.0,12.7063406,0.0,0.5,0.0,13.3561663,29.1046239,0.0,0.0,0.0,17.67338711,12.09375,0.0,17.1698872,194.6218846,0.0,0.0,2.0,2.9000001,0.0,0.0,14.704411499999999,5.1666667,0.0,0.0,19.0825018,2.5,58.491107400000004,0.0,0.0,0.0,3.3779310000000002,1.9615384,28.96982,0.0,0.0,46.6309525,5.0058479,7.9589901,8.074140700000001,28.6638849,32.476790199999996,9.0782123,0.0,0.0,68.6896772,5.3719879,17.1323723,0.0,11.8702343,2.0,0.0,0.75,0.0,0.0,2.0,20.2949964,0.0,0.0,5.60887167,0.0,0.0,0.0,0.0,333.857143,17.4304867,28.97486471,7.2439024,78.59826724,90.74031392,19.125,11.48795396,4.0,31.032548900000002,0.0,0.0,2.0,0.0,0.0,2.0,2.0,32.5769231,4.0,0.0,8.6939948,1.9615384,0.0,36.9087138,13.95626534,39.4749314,0.0,0.0,0.0,0.027777778099999997,0.017966852,0.017999999,0.0,0.0,40.1567407,0.0,0.0,0.0,0.0,0.0,124.3524711,0.0,2.0,0.0,4.9884393,0.0,2.8235295,0.0,0.0,0.0,0.0,0.0,21.0353902,0.0,0.0,33.9777777,0.0,29.2344675,14.962963,8.1750202,2.0,15.5749998,21.020788,11.3071266,5.9830508,8.9318028,0.0,88.7825076,0.0,5.591666699999999,4.0,0.0,17.8147863,0.0,0.0,3.9875,14.729609,5.5167465,0.0,26.1936262,23.0832658,0.0,0.0,0.0,1.0,56.4679348,120.9028441,73.1894695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,8.0,0.0,4.5,11.556154,1.0,0.0,7.1353740000000005,0.0,0.0,0.0,0.0,1.1324503,10.3109091,4.0185184
